iter	Passed	Remaining
1506	87073	28485
1507	87131	28427
1508	87188	28369
1509	87244	28311
1510	87301	28253
1511	87357	28194
1512	87412	28136
1513	87469	28078
1514	87524	28019
1515	87579	27960
1516	87635	27902
1517	87691	27844
1518	87747	27785
1519	87804	27727
1520	87861	27669
1521	87917	27611
1522	87973	27553
1523	88030	27495
1524	88100	27441
1525	88161	27384
1526	88219	27326
1527	88289	27272
1528	88348	27215
1529	88402	27156
1530	88470	27101
1531	88526	27043
1532	88608	26992
1533	88666	26935
1534	88725	26877
1535	88783	26820
1536	88838	26761
1537	88897	26703
1538	88952	26645
1539	89008	26586
1540	89068	26529
1541	89126	26472
1542	89182	26413
1543	89245	26357
1544	89301	26299
1545	89360	26241
1546	89422	26185
1547	89484	26128
1548	89548	26072
1549	89605	26014
1550	89663	25956
1551	89719	25898
1552	89773	25839
1553	89838	25783
1554	89895	25725
1555	89954	25668
1556	90010	25609
1557	90066	25551
1558	90123	25493
1559	90179	25435
1560	90236	25377
1561	90302	25321
1562	90358	25263
1563	90414	25205
1564	90471	25146
1565	90529	25089
1566	90586	25031
1567	90643	24973
1568	90700	24915
1569	90756	24856
1570	90813	24798
1571	90870	24740
1572	90925	24682
1573	90980	24623
1574	91038	24566
1575	91097	24508
1576	91152	24449
1577	91208	24391
1578	91263	24333
1579	91331	24278
1580	91400	24223
1581	91456	24164
1582	91514	24107
1583	91572	24049
1584	91639	23993
1585	91695	23935
1586	91751	23877
1587	91807	23819
1588	91865	23761
1589	91920	23702
1590	91978	23644
1591	92052	23591
1592	92108	23532
1593	92163	23474
1594	92222	23417
1595	92281	23359
1596	92337	23301
1597	92416	23248
1598	92473	23190
1599	92529	23132
1600	92586	23074
1601	92645	23016
1602	92702	22958
1603	92767	22902
1604	92823	22844
1605	92880	22786
1606	92933	22727
1607	92989	22669
1608	93044	22610
1609	93100	22552
1610	93156	22493
1611	93209	22434
1612	93267	22377
1613	93332	22321
1614	93386	22262
1615	93442	22204
1616	93497	22145
1617	93553	22087
1618	93608	22028
1619	93663	21970
1620	93719	21912
1621	93774	21853
1622	93829	21795
1623	93886	21737
1624	93942	21679
1625	94010	21623
1626	94063	21564
1627	94118	21506
1628	94172	21447
1629	94226	21388
1630	94283	21330
1631	94339	21272
1632	94400	21215
1633	94456	21157
1634	94511	21099
1635	94568	21040
1636	94624	20982
1637	94680	20924
1638	94735	20866
1639	94789	20807
1640	94845	20749
1641	94900	20690
1642	94963	20634
1643	95021	20576
1644	95077	20518
1645	95134	20460
1646	95191	20402
1647	95249	20344
1648	95305	20286
1649	95361	20228
1650	95418	20170
1651	95475	20112
1652	95543	20056
1653	95600	19998
1654	95656	19940
1655	95712	19882
1656	95767	19824
1657	95825	19766
1658	95880	19707
1659	95936	19649
1660	96010	19595
